Satellite_Capacity_W,Secondary_Capacity_Q,Num_Vehicles,Success_Rate,Best_Fitness,Mean_Fitness,Std_Fitness,Median_Fitness,Mean_Time_sec
19500,800,4,100.0%,15258.75,15443.90,122.11,15454.00,18.26
19500,900,4,100.0%,15369.00,15468.48,92.16,15479.70,17.64
19500,1000,4,100.0%,15458.70,15544.15,43.32,15564.00,18.27
19500,1100,4,100.0%,15304.05,15409.33,104.88,15392.80,17.66
19500,1200,4,100.0%,15475.05,15545.76,60.46,15516.00,17.66
20000,800,4,100.0%,15285.05,15447.70,96.11,15438.70,17.70
20000,900,4,100.0%,15237.00,15345.24,77.01,15367.75,18.43
20000,1000,4,100.0%,15311.00,15388.95,63.96,15394.05,17.74
20000,1100,4,100.0%,15342.70,15412.78,53.75,15422.70,336.58
20000,1200,4,100.0%,15289.00,15383.16,55.52,15384.00,19.05
21000,800,4,100.0%,15174.00,15329.49,107.06,15309.00,17.80
21000,900,4,100.0%,15318.05,15398.36,95.70,15324.00,18.38
21000,1000,4,100.0%,15255.70,15340.51,71.74,15374.70,18.24
21000,1100,4,100.0%,15275.00,15446.36,89.66,15466.00,17.72
21000,1200,4,100.0%,15165.00,15356.97,108.37,15361.05,17.72
22000,800,4,100.0%,15085.75,15294.79,113.64,15325.70,17.94
22000,900,4,100.0%,15079.00,15232.06,124.28,15225.00,17.93
22000,1000,4,100.0%,15224.00,15359.55,70.48,15394.00,18.91
22000,1100,4,100.0%,15191.05,15308.55,103.94,15259.00,18.52
22000,1200,4,100.0%,15257.70,15339.37,52.64,15365.05,18.07
23000,800,4,100.0%,15105.75,15293.45,103.08,15325.00,17.67
23000,900,4,100.0%,15285.00,15427.78,76.35,15450.75,17.74
23000,1000,4,100.0%,15132.05,15246.96,93.69,15230.00,17.74
23000,1100,4,100.0%,15069.05,15286.90,111.72,15322.70,17.77
23000,1200,4,100.0%,15163.70,15285.24,78.54,15293.00,17.70
